,Open,High,Low,Close,Adj Close,Volume
2005-10-25 00:00:00,34.706493,34.893211,34.403072,34.683151,22.712549,1371203.0
2005-10-26 00:00:00,34.776512,34.893211,34.403072,34.496433,22.590277,2121800.0
2005-10-27 00:00:00,34.309711,34.613132,34.216354,34.333054,22.483292,2244735.0
2005-10-28 00:00:00,34.286373,34.729832,34.122993,34.659813,22.697269,1709104.0
2005-10-31 00:00:00,34.659813,35.430031,34.659813,35.406693,23.186365,1779490.0
2005-11-01 00:00:00,35.289989,35.360012,35.033253,35.17329,23.033524,1229874.0
2005-11-02 00:00:00,35.17329,35.38335,34.543114,34.96323,22.895967,1918355.0
2005-11-03 00:00:00,35.243313,35.616749,35.033253,35.476711,23.232222,2070527.0
2005-11-04 00:00:00,35.360012,35.453369,35.12661,35.289989,23.109945,1301237.0
2005-11-07 00:00:00,35.360012,35.54673,35.12661,35.50005,23.247505,1291477.0
2005-11-08 00:00:00,35.663429,35.733452,35.196632,35.289989,23.109945,1672562.0
2005-11-09 00:00:00,35.243313,35.476711,35.149952,35.266651,23.094662,1312873.0
2005-11-10 00:00:00,35.453369,35.59341,35.149952,35.313332,23.125231,1103391.0
2005-11-11 00:00:00,35.476711,35.92017,35.430031,35.780128,23.43092,1074214.0
2005-11-14 00:00:00,35.71011,35.943508,35.570068,35.873489,23.492058,1183340.0
2005-11-15 00:00:00,35.733452,36.316948,35.640091,36.17691,23.690752,1750672.0
2005-11-16 00:00:00,35.96685,36.106888,35.54673,35.71011,23.385067,1507411.0
2005-11-17 00:00:00,35.896828,36.083549,35.453369,35.50005,23.247505,1898599.0
2005-11-18 00:00:00,35.803471,36.036869,35.663429,35.75679,23.415636,1720544.0
2005-11-21 00:00:00,36.106888,36.223591,35.686771,36.083549,23.629614,1669292.0
2005-11-22 00:00:00,36.17691,36.17691,35.826809,35.896828,23.507339,1108057.0
2005-11-23 00:00:00,36.153568,36.153568,35.780128,35.803471,23.446205,1093396.0
2005-11-24 00:00:00,35.896828,35.96685,35.663429,35.780128,23.43092,993477.0
2005-11-25 00:00:00,35.873489,35.873489,35.59341,35.71011,23.385067,900439.0
2005-11-28 00:00:00,35.873489,36.036869,35.476711,35.54673,23.278076,2429976.0
2005-11-29 00:00:00,35.54673,36.153568,35.523392,35.990189,23.568478,1281639.0
2005-11-30 00:00:00,35.850151,36.013531,35.616749,35.803471,23.446205,2231376.0
2005-12-01 00:00:00,35.826809,36.480328,35.826809,36.433647,23.858875,1928908.0
2005-12-02 00:00:00,36.433647,36.737068,36.246929,36.737068,24.057577,1766319.0
2005-12-05 00:00:00,36.573689,36.713726,36.246929,36.456989,23.874163,1186922.0
2005-12-06 00:00:00,36.363628,36.667049,36.200249,36.620369,23.981153,1082140.0
2005-12-07 00:00:00,36.620369,36.760406,36.550346,36.713726,24.042297,1556040.0
2005-12-08 00:00:00,36.480328,37.040485,36.480328,37.040485,24.256271,2093304.0
2005-12-09 00:00:00,36.830425,37.180527,36.807087,37.110504,24.302126,1393936.0
2005-12-12 00:00:00,37.133846,37.553967,37.133846,37.273888,24.409115,1954777.0
2005-12-13 00:00:00,37.203865,37.343906,37.017147,37.273888,24.409115,1869100.0
2005-12-14 00:00:00,37.343906,37.577305,37.157185,37.390587,24.485538,2018496.0
2005-12-15 00:00:00,37.413925,37.810703,37.413925,37.507286,24.561958,2169388.0
2005-12-16 00:00:00,37.483944,37.974083,37.483944,37.834045,24.77594,2343257.0
2005-12-19 00:00:00,37.577305,37.880726,37.577305,37.717346,24.699518,1123473.0
2005-12-20 00:00:00,37.670666,37.927402,37.483944,37.880726,24.806515,1054030.0
2005-12-21 00:00:00,37.787365,38.394203,37.740685,38.394203,25.142767,1624382.0
2005-12-22 00:00:00,38.277504,38.69762,38.254166,38.627602,25.295603,1447445.0
2005-12-23 00:00:00,38.347523,38.627602,38.160805,38.370865,25.127485,922697.0
